Acc X;Acc Y;Acc Z;Gyr X;Gyr Y;Gyr Z;Mag X;Mag Y;Mag Z;q0;q1;q2;q3;Roll;Pitch;Yaw;
-0.14;-0.24;9.01;-0.02;0.01;-0.00;-0.10;1.05;-1.27;0.82;-0.01;0.01;0.57;-0.41;1.89;69.03;
-0.55;-0.07;10.66;0.02;-0.01;-0.00;-0.05;1.01;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.88;69.03;
-0.12;-0.01;9.29;-0.01;0.00;0.00;-0.10;1.06;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.24;-0.25;9.52;-0.02;0.01;0.00;-0.04;1.00;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.54;-0.00;10.44;0.02;-0.01;-0.00;-0.11;1.05;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.13;0.03;9.31;-0.02;0.01;-0.00;-0.04;1.01;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.39;-0.27;9.92;-0.01;0.00;-0.00;-0.10;1.05;-1.18;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.43;0.07;10.14;0.02;-0.01;-0.00;-0.05;1.01;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.11;-0.06;9.46;-0.02;0.01;-0.00;-0.09;1.04;-1.18;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.49;-0.22;9.99;0.00;-0.01;0.00;-0.07;1.02;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.34;0.06;9.81;0.01;-0.00;0.00;-0.10;1.03;-1.13;0.82;-0.01;0.01;0.57;-0.40;1.87;69.02;
-0.27;-0.17;9.49;-0.01;0.01;0.00;-0.09;1.04;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.53;-0.19;9.99;0.01;-0.01;-0.00;-0.10;1.05;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.21;-0.01;9.67;0.01;-0.01;-0.00;-0.10;1.04;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.87;69.02;
-0.18;-0.26;9.39;-0.01;0.01;0.00;-0.08;1.05;-1.16;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.51;-0.06;10.10;0.01;-0.00;0.00;-0.11;1.05;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.87;69.02;
-0.30;0.00;9.80;0.00;0.00;-0.00;-0.08;1.04;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.87;69.02;
-0.29;-0.25;9.40;-0.01;0.01;-0.00;-0.12;1.07;-1.23;0.82;-0.01;0.01;0.57;-0.41;1.88;69.01;
-0.52;0.02;10.23;0.01;-0.00;-0.00;-0.08;1.04;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.17;0.03;9.81;0.00;-0.00;-0.00;-0.13;1.10;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.26;-0.19;9.57;-0.01;0.01;0.00;-0.06;1.05;-1.18;0.82;-0.01;0.01;0.57;-0.41;1.88;69.01;
-0.57;0.00;10.28;0.02;-0.01;0.00;-0.13;1.07;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.19;-0.07;9.45;-0.01;0.00;0.00;-0.06;1.04;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.40;-0.27;9.65;-0.00;0.01;0.00;-0.13;1.08;-1.30;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.37;0.04;10.24;0.01;-0.01;0.00;-0.06;1.04;-1.26;0.82;-0.01;0.01;0.57;-0.39;1.87;69.01;
-0.12;-0.11;9.31;-0.01;0.01;0.00;-0.12;1.07;-1.34;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.38;-0.24;9.80;-0.00;0.00;0.00;-0.05;1.03;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.35;0.08;10.07;0.01;-0.01;0.00;-0.11;1.05;-1.25;0.82;-0.01;0.01;0.57;-0.39;1.87;69.02;
-0.19;-0.25;9.21;-0.01;0.01;0.00;-0.05;1.02;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.38;-0.15;9.92;0.01;-0.00;-0.00;-0.10;1.04;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.24;0.09;10.01;0.00;-0.00;-0.00;-0.07;1.02;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.22;-0.27;9.21;-0.01;0.00;-0.00;-0.07;1.03;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.45;-0.01;10.16;-0.00;0.00;-0.00;-0.08;1.03;-1.28;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.36;-0.01;10.07;0.00;-0.00;-0.00;-0.07;1.02;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.28;-0.18;9.15;-0.01;0.01;-0.00;-0.09;1.03;-1.20;0.82;-0.01;0.01;0.57;-0.41;1.88;69.00;
-0.51;0.06;10.58;0.01;-0.00;-0.00;-0.06;1.00;-1.14;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.32;-0.03;9.77;0.01;-0.00;-0.00;-0.11;1.04;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.30;-0.20;9.14;-0.01;0.01;0.00;-0.03;1.00;-1.13;0.82;-0.01;0.01;0.57;-0.41;1.88;69.00;
-0.53;0.04;10.83;0.01;-0.01;0.00;-0.11;1.05;-1.17;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.25;-0.15;9.05;0.01;-0.01;0.00;-0.05;1.00;-1.15;0.82;-0.01;0.01;0.57;-0.39;1.87;69.00;
-0.28;-0.23;9.48;-0.02;0.01;0.00;-0.12;1.06;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.56;-0.05;10.54;0.02;-0.01;0.00;-0.06;1.01;-1.16;0.82;-0.01;0.01;0.57;-0.39;1.87;69.01;
-0.16;-0.15;8.79;-0.02;0.01;0.00;-0.13;1.07;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.35;-0.26;10.03;-0.01;0.01;-0.00;-0.07;1.04;-1.14;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.36;0.03;10.05;0.02;-0.01;-0.00;-0.13;1.07;-1.17;0.82;-0.01;0.01;0.57;-0.39;1.87;69.00;
-0.08;-0.10;9.04;-0.02;0.01;0.00;-0.10;1.05;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.88;69.01;
-0.42;-0.19;10.46;0.00;0.00;0.00;-0.11;1.06;-1.14;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.36;0.18;9.78;0.01;-0.00;0.00;-0.12;1.07;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.16;-0.19;9.48;-0.02;0.02;-0.00;-0.11;1.06;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.89;69.00;
-0.50;-0.07;10.41;0.02;-0.01;-0.00;-0.13;1.09;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;69.00;
-0.16;0.13;9.64;-0.00;0.00;0.00;-0.10;1.05;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.88;69.00;
-0.16;-0.34;9.51;-0.01;0.00;0.00;-0.14;1.08;-1.24;0.82;-0.01;0.01;0.57;-0.41;1.88;69.00;
-0.53;-0.00;10.22;0.02;-0.01;0.00;-0.09;1.06;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.19;-0.03;9.56;-0.00;0.00;0.00;-0.15;1.09;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.34;-0.31;9.42;-0.00;0.00;-0.00;-0.07;1.05;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.46;0.00;10.10;0.01;-0.01;-0.00;-0.15;1.07;-1.25;0.82;-0.01;0.01;0.57;-0.39;1.87;69.00;
-0.09;-0.13;9.43;-0.01;0.01;-0.00;-0.08;1.03;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.41;-0.25;9.50;-0.01;0.01;-0.00;-0.14;1.08;-1.29;0.82;-0.01;0.01;0.57;-0.40;1.88;69.00;
-0.50;-0.05;10.17;0.01;-0.01;-0.00;-0.08;1.03;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.21;-0.09;9.32;-0.01;0.01;-0.00;-0.14;1.08;-1.26;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.48;-0.11;10.02;-0.01;0.00;-0.00;-0.07;1.03;-1.26;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.36;0.04;10.25;0.02;-0.00;-0.00;-0.13;1.08;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.88;68.99;
-0.15;-0.05;9.27;-0.02;0.01;0.00;-0.08;1.03;-1.25;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.56;-0.08;10.45;0.01;-0.00;0.00;-0.10;1.05;-1.25;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.39;0.08;9.78;0.02;-0.01;0.00;-0.09;1.04;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.23;-0.15;9.35;-0.02;0.01;0.00;-0.09;1.03;-1.22;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.54;-0.14;10.27;0.02;-0.01;-0.00;-0.09;1.04;-1.26;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.18;-0.06;9.35;-0.00;0.01;0.00;-0.05;1.01;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.20;-0.30;9.53;-0.01;0.01;0.00;-0.11;1.05;-1.23;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.43;-0.11;10.06;0.02;-0.01;0.00;-0.04;1.02;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.88;68.99;
-0.22;-0.05;9.41;-0.01;-0.00;0.00;-0.12;1.06;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.99;
-0.27;-0.30;9.52;-0.01;0.01;0.00;-0.05;1.03;-1.16;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.54;0.11;10.29;0.01;-0.01;-0.00;-0.12;1.08;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.88;68.99;
-0.06;-0.14;9.53;-0.01;0.01;-0.00;-0.06;1.03;-1.21;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.38;-0.18;9.64;-0.00;0.00;0.00;-0.12;1.08;-1.23;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.35;0.12;10.49;0.01;-0.01;0.00;-0.06;1.04;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.20;-0.12;9.37;-0.01;0.00;-0.00;-0.13;1.08;-1.29;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.39;-0.12;9.73;-0.00;-0.00;0.00;-0.08;1.05;-1.27;0.82;-0.01;0.01;0.57;-0.41;1.87;68.99;
-0.35;0.07;10.49;0.01;-0.00;-0.00;-0.11;1.06;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.26;-0.15;9.11;-0.01;0.01;-0.00;-0.10;1.04;-1.31;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.45;-0.19;9.85;0.00;0.00;-0.00;-0.11;1.06;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.27;0.06;10.16;0.01;-0.00;-0.00;-0.11;1.02;-1.29;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.30;-0.29;9.03;-0.01;0.01;0.00;-0.10;1.02;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.88;68.98;
-0.44;-0.15;9.98;0.00;0.00;0.00;-0.13;1.03;-1.26;0.82;-0.01;0.01;0.57;-0.40;1.88;68.98;
-0.41;0.01;9.96;0.01;-0.00;0.00;-0.08;1.01;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.25;-0.30;9.05;-0.02;0.01;0.00;-0.13;1.03;-1.28;0.82;-0.01;0.01;0.57;-0.41;1.88;68.98;
-0.51;0.00;10.38;0.01;-0.01;0.00;-0.07;1.00;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.22;-0.04;9.64;0.00;-0.01;0.00;-0.13;1.06;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.29;-0.14;9.49;-0.02;0.01;0.00;-0.06;1.00;-1.20;0.82;-0.01;0.01;0.57;-0.41;1.87;68.99;
-0.56;0.08;10.65;0.01;-0.01;0.00;-0.13;1.05;-1.24;0.82;-0.01;0.01;0.57;-0.41;1.87;68.99;
-0.14;-0.04;9.31;-0.00;0.00;0.00;-0.06;1.01;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.87;68.99;
-0.26;-0.14;9.81;-0.01;0.01;0.00;-0.13;1.05;-1.21;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.42;-0.02;10.40;0.02;-0.01;0.00;-0.05;1.02;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.12;-0.13;8.95;-0.01;0.01;0.00;-0.12;1.06;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.99;
-0.34;-0.24;9.98;-0.00;0.00;0.00;-0.05;1.01;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.46;-0.02;10.07;0.02;-0.01;-0.00;-0.10;1.05;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.12;-0.24;8.79;-0.02;0.01;-0.00;-0.06;1.03;-1.19;0.82;-0.01;0.01;0.57;-0.41;1.88;68.98;
-0.41;-0.22;10.17;0.00;-0.00;-0.00;-0.10;1.05;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.88;68.98;
-0.37;0.13;10.03;0.01;-0.01;0.00;-0.06;1.03;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.15;-0.30;9.11;-0.02;0.00;0.00;-0.08;1.05;-1.15;0.82;-0.01;0.01;0.57;-0.41;1.87;68.98;
-0.53;-0.01;10.37;0.01;-0.01;-0.00;-0.08;1.05;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.32;0.09;9.89;0.00;-0.00;0.00;-0.07;1.06;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.27;-0.22;9.39;-0.01;0.00;-0.00;-0.09;1.06;-1.24;0.82;-0.01;0.01;0.57;-0.41;1.87;68.98;
-0.49;0.06;10.39;0.01;-0.00;-0.00;-0.06;1.05;-1.17;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.25;-0.02;9.70;0.01;0.00;-0.00;-0.09;1.08;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.87;68.97;
-0.28;-0.22;9.35;-0.01;0.01;0.00;-0.05;1.03;-1.22;0.82;-0.01;0.01;0.57;-0.41;1.87;68.97;
-0.57;-0.04;10.37;0.01;0.00;-0.00;-0.11;1.06;-1.26;0.82;-0.01;0.01;0.57;-0.40;1.87;68.97;
-0.19;-0.10;9.22;-0.00;0.00;-0.00;-0.04;1.01;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.88;68.97;
-0.35;-0.28;9.59;-0.01;0.01;-0.00;-0.11;1.06;-1.24;0.82;-0.01;0.01;0.57;-0.41;1.88;68.97;
-0.46;-0.03;10.32;0.02;-0.01;0.00;-0.04;1.00;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.97;
-0.14;-0.14;8.99;-0.01;0.00;0.00;-0.11;1.05;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.97;
-0.41;-0.18;10.07;-0.01;0.01;0.00;-0.05;1.00;-1.19;0.82;-0.01;0.01;0.57;-0.41;1.88;68.98;
-0.44;0.06;10.21;0.02;-0.02;0.00;-0.10;1.05;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.08;-0.09;9.06;-0.02;0.00;0.00;-0.04;1.02;-1.18;0.82;-0.01;0.01;0.57;-0.41;1.87;68.98;
-0.53;-0.12;10.40;0.01;-0.00;0.00;-0.10;1.04;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.19;0.10;9.84;0.01;-0.01;0.00;-0.06;1.02;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.20;-0.13;9.49;-0.02;0.02;-0.00;-0.09;1.04;-1.13;0.82;-0.01;0.01;0.57;-0.41;1.88;68.98;
-0.50;-0.08;10.37;0.02;-0.01;0.00;-0.09;1.02;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.87;68.98;
-0.22;0.06;9.57;0.00;0.01;-0.00;-0.08;1.05;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.87;68.97;
-0.26;-0.33;9.44;-0.01;0.01;-0.00;-0.09;1.05;-1.25;0.82;-0.01;0.01;0.57;-0.41;1.88;68.97;
-0.52;-0.09;10.07;0.02;-0.00;-0.00;-0.08;1.04;-1.17;0.82;-0.01;0.01;0.57;-0.40;1.88;68.97;
-0.18;-0.10;9.44;-0.01;0.01;-0.00;-0.11;1.07;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.97;
-0.34;-0.35;9.49;-0.00;0.00;-0.00;-0.06;1.03;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.88;68.97;
-0.44;0.02;10.14;0.01;-0.01;0.00;-0.13;1.07;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.97;
-0.16;-0.14;9.40;-0.01;-0.00;0.00;-0.05;1.04;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.88;68.97;
-0.41;-0.09;9.78;-0.01;-0.00;0.00;-0.13;1.10;-1.24;0.82;-0.01;0.01;0.57;-0.41;1.88;68.97;
-0.46;0.07;10.48;0.01;-0.01;0.00;-0.07;1.04;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.87;68.97;
-0.22;-0.10;9.19;-0.01;0.01;-0.00;-0.12;1.08;-1.24;0.82;-0.01;0.01;0.57;-0.41;1.87;68.97;
-0.44;-0.06;10.10;-0.00;0.00;-0.00;-0.07;1.05;-1.18;0.82;-0.01;0.01;0.57;-0.41;1.87;68.97;
-0.32;0.05;10.36;0.02;-0.01;-0.00;-0.13;1.08;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.87;68.97;
-0.19;-0.13;8.99;-0.02;0.01;0.00;-0.06;1.05;-1.24;0.82;-0.01;0.01;0.57;-0.41;1.88;68.97;
-0.43;-0.15;10.32;0.00;0.01;0.00;-0.13;1.07;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.88;68.97;
-0.43;-0.00;9.84;0.02;-0.00;-0.00;-0.07;1.03;-1.25;0.82;-0.01;0.01;0.57;-0.39;1.87;68.97;
-0.14;-0.18;9.01;-0.02;0.02;0.00;-0.11;1.06;-1.23;0.82;-0.01;0.01;0.57;-0.41;1.88;68.96;
-0.54;-0.18;10.44;0.02;-0.01;-0.00;-0.08;1.04;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.88;68.96;
-0.15;-0.01;9.22;-0.00;-0.00;-0.00;-0.09;1.03;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.88;68.96;
-0.21;-0.27;9.56;-0.02;0.01;0.00;-0.08;1.03;-1.27;0.82;-0.01;0.01;0.57;-0.41;1.89;68.96;
-0.49;-0.14;10.20;0.02;-0.02;0.00;-0.08;1.02;-1.21;0.82;-0.01;0.01;0.57;-0.39;1.87;68.97;
-0.18;0.06;9.35;-0.01;-0.00;0.00;-0.08;1.04;-1.28;0.82;-0.01;0.01;0.57;-0.40;1.87;68.97;
-0.31;-0.29;9.89;-0.01;0.00;0.00;-0.06;1.02;-1.22;0.82;-0.01;0.01;0.57;-0.41;1.88;68.97;
-0.49;0.12;10.24;0.02;-0.01;0.00;-0.09;1.04;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.87;68.97;
-0.08;-0.05;9.38;-0.02;0.01;-0.00;-0.06;1.01;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.87;68.97;
-0.41;-0.19;9.97;0.00;-0.00;-0.00;-0.09;1.03;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.87;68.96;
-0.40;0.14;10.25;0.01;-0.00;-0.00;-0.05;1.00;-1.14;0.82;-0.01;0.01;0.57;-0.40;1.87;68.96;
-0.24;-0.17;9.30;-0.01;0.01;-0.00;-0.10;1.04;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.88;68.96;
-0.44;-0.12;9.86;-0.00;0.01;-0.00;-0.03;1.01;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.88;68.96;
-0.40;-0.01;10.14;0.01;-0.00;-0.00;-0.11;1.04;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.14;-0.25;8.95;-0.01;0.00;0.00;-0.05;1.01;-1.11;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.52;-0.12;10.18;0.00;-0.00;0.00;-0.12;1.05;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.88;68.96;
-0.36;-0.08;9.83;0.01;-0.01;0.01;-0.07;1.01;-1.13;0.82;-0.01;0.01;0.57;-0.39;1.87;68.96;
-0.21;-0.18;8.95;-0.02;0.01;0.00;-0.12;1.07;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.88;68.96;
-0.54;-0.10;10.46;0.01;-0.01;0.00;-0.07;1.02;-1.12;0.82;-0.01;0.01;0.57;-0.40;1.87;68.96;
-0.20;0.06;9.67;0.01;-0.01;0.00;-0.14;1.06;-1.13;0.82;-0.01;0.01;0.57;-0.40;1.87;68.96;
-0.12;-0.22;9.38;-0.02;0.02;0.00;-0.07;1.05;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.88;68.96;
-0.57;0.03;10.64;0.02;-0.01;0.00;-0.14;1.08;-1.14;0.82;-0.01;0.01;0.57;-0.40;1.87;68.96;
-0.13;0.08;9.36;-0.01;0.01;-0.00;-0.10;1.06;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.87;68.96;
-0.35;-0.23;9.81;-0.01;0.02;-0.00;-0.13;1.09;-1.19;0.82;-0.01;0.01;0.57;-0.41;1.88;68.96;
-0.46;0.05;10.37;0.02;-0.01;-0.00;-0.11;1.08;-1.20;0.82;-0.01;0.01;0.57;-0.39;1.87;68.96;
-0.11;-0.11;9.14;-0.01;0.01;-0.00;-0.13;1.08;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.35;-0.23;9.93;-0.00;0.00;0.00;-0.12;1.08;-1.30;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.41;0.05;10.12;0.02;-0.01;-0.00;-0.11;1.07;-1.24;0.82;-0.01;0.01;0.57;-0.39;1.88;68.95;
-0.14;-0.26;8.92;-0.01;0.00;-0.00;-0.13;1.07;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.47;-0.19;10.10;-0.00;0.00;0.00;-0.09;1.05;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.40;-0.01;10.01;0.01;-0.01;0.00;-0.14;1.07;-1.28;0.82;-0.01;0.01;0.57;-0.39;1.87;68.95;
-0.17;-0.23;8.97;-0.02;0.01;-0.00;-0.08;1.03;-1.26;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.52;-0.08;10.36;0.00;-0.00;0.00;-0.14;1.08;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.23;0.03;9.76;0.01;-0.00;0.00;-0.07;1.03;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.33;-0.12;9.37;-0.02;0.01;0.00;-0.14;1.09;-1.29;0.82;-0.01;0.01;0.57;-0.41;1.88;68.95;
-0.56;-0.11;10.48;0.02;-0.01;0.00;-0.06;1.03;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.24;0.09;9.49;-0.00;0.00;-0.00;-0.13;1.07;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.24;-0.25;9.72;-0.02;0.02;0.00;-0.06;1.02;-1.22;0.82;-0.01;0.01;0.57;-0.41;1.88;68.95;
-0.50;0.02;10.27;0.03;-0.01;0.00;-0.11;1.05;-1.20;0.82;-0.01;0.01;0.57;-0.39;1.88;68.95;
-0.07;-0.05;9.34;-0.02;0.01;0.00;-0.07;1.02;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.46;-0.30;9.76;0.00;-0.00;0.00;-0.09;1.04;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.39;0.00;9.98;0.01;-0.01;0.00;-0.08;1.03;-1.27;0.82;-0.01;0.01;0.57;-0.39;1.88;68.95;
-0.20;-0.15;9.47;-0.01;0.01;-0.00;-0.08;1.05;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.34;-0.23;9.65;-0.00;-0.00;-0.00;-0.09;1.04;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.32;0.02;10.06;0.01;-0.00;0.00;-0.07;1.03;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
